Date,Time,City,State,Shape,Duration,Description
1/18/2015,23:00:00,Baldwin Park,CA,Oval,7 minutes,"Flashy oval craft flying over Baldwin Park, Ca."
10/17/2014,1:00:00,Baldwin Park,CA,Light,1 second,They are here.
7/4/2014,23:18:00,Baldwin Park,CA,Light,2 minutes,"Moving blinking bright to dim object heading towards mountains, seen from Baldwin Park, CA."
4/14/2014,23:45:00,Banning,CA,Cylinder,10 seconds,Witnessed dark grey cylinder shaped object (traveling West to East) during the Lunar eclipse.
3/15/2016,20:04:00,Barstow,CA,Other,10 minutes,"The object first appeared in the sky around 8:04 PM Barstow time. It appeared to have a kind of flame coming from it at first, but then"
11/7/2015,18:00:00,Barstow,CA,Cylinder,several minutes,"Big Green Cylinder Light on the Sky of Barstow, CA. ((NUFORC Note: US Navy missile launch. PD))"
10/1/2015,3:30:00,Barstow,CA,Cigar,1 minute,"White, cigar shaped, large, high, no noise, fast, no chemtrail to say jetliner."
4/7/2016,21:30:00,Bass Lake,CA,Fireball,3 seconds,Large green fireball flashing across the tree line. Did not look like anything I have seem up here before. Went out of view.
11/7/2015,18:30:00,Bay Area,CA,Fireball,10 minutes,Huge light in sky blue/green in color (fireball) of some kind. ((NUFORC Note: U. S. Navy missile launch. PD))
6/12/2015,19:00:00,Beaumont,CA,Sphere,20-30 seconds,Small black sphere flying at the speed of prop plane on a straight line that disappeared behind a small cloud and never re-emerged.
7/9/2014,4:40:00,Beaumont,CA,Egg,22 minutes,Bright egg shape light. ((NUFORC Note: Possible sighting of Venus in the SE sky?? PD))
6/27/2014,22:45:00,Beaumont,CA,Light,30 seconds,"Light over Beaumont, California."
3/15/2016,16:30:00,Benicia,CA,Other,10 minutes,Military - Airplane Cloaking Tech being Tested.
11/7/2015,18:05:00,Benicia,CA,Cigar,5 minutes,Arrow shaped reflexion pointing toward bright light in the sky. ((NUFORC Note: U. S. Navy missile launch. PD))
4/27/2015,12:50:00,Benicia,CA,Other,5 minutes,"Two ufos over Benicia, CA."
3/5/2015,21:00:00,Benicia,CA,Formation,10-15 minutes,3 strange lights in a triangle formation.
2/20/2015,19:30:00,Benicia,CA,,1 hour and continuing,We seen a huge bright object in the sky which was located under the moon and slightly to the left. ((NUFORC Note: Venus? PD))
3/28/2014,20:00:00,Benicia,CA,Light,,Circular lights looping in a circle.
11/4/2015,9:30:00,Berkeley,CA,Light,5 minutes,"About 10 points of white light, moving in a random pattern."
2/24/2015,1:00:00,Berkeley,CA,Light,5+ minutes,Pulsating blue and red light over the Berkeley/ Oakland Hills.
1/2/2014,23:00:00,Berkeley,CA,Light,2 hours,THREE BRIGHT ORANGE LIGHTS OVER OAKLAND AND A SHOOTING STAR.
6/7/2015,22:20:00,Berkeley ,CA,Formation,30 minutes. On & off,Sequenced lights in Oakland Hills.
4/26/2015,22:00:00,Berkeley ,CA,Formation,5 minutes,"Formation over Berkeley, CA."
10/3/2014,21:00:00,Berry Creek,CA,Triangle,seconds,Tree top level high speed UFO type objects passed over our house located on a mountain on the Western slope of the Sierra's in Northern
5/29/2015,10:30:00,Big Bear Lake,CA,Sphere,5-10 seconds,Metallic sphere spotted in broad daylight in a clear sky on a mountain road.
8/28/2014,22:28:00,Big Pine,CA,Flash,1 second,A bright white light lit up the dark back street I was using to get back home.
6/16/2014,22:36:00,Big Pine,CA,Light,20 seconds,Bright white light seen over White Mountains
9/9/2014,13:37:00,Big Sur,CA,Disk,8 seconds,"Shiny, rounded object in daylight, moving steady towards ocean, then gone."
3/17/2016,22:00:00,Blocksburg,CA,,1 minute,Fireworks type explosion seen in the dark sky just above horizon at 22:00 on 03/18/16.
2/23/2015,15:00:00,Blocksburg,CA,Other,10 minutes,long fuselage with four wings.
2/24/2014,19:00:00,Blythe,CA,Triangle,5 minutes,3 lights flying in triangle formation traveling east.
6/1/2014,21:05:00,Bonny Doon,CA,Light,2 minutes,Strange pulsating light over northern Santa Cruz County.
12/28/2014,12:10:00,Bonsall,CA,Cigar,2 minutes,Coming down Hwy 76 i notice a totally 'black' cigar shaped object in the sky and not far away and not that high up in the sky.
4/7/2014,21:45:00,Bonsall,CA,Triangle,20-30 seconds,High flying fast moving triangular shaped object outlined in multi colored lights.
2/6/2014,16:39:00,Borrego Springs,CA,Other,5 seconds,Glare again seen.
9/24/2014,20:10:00,Boulder Creek,CA,Sphere,5 minutes,At 20:10-ish on 09/24/14 the object in question was flying at an altitude approximately 500' - 1000' from a Northwesterly direction. It
8/17/2014,4:00:00,Boulder Creek,CA,Circle,10 minutes,White balls of light with one orange ball.
7/1/2014,21:20:00,Boulder Creek,CA,,10 seconds,Single point of light moving across the sky from southwest to northeast at about 9:20 PM Pacific DST. ((NUFORC Note: ISS? PD))
11/7/2015,18:00:00,Boyle Heights,CA,Unknown,10 minutes,i saw a sodium colored light in the sky. the light was brighter than normal a/c. ((NUFORC Note: U. S. Navy missile launch. PD))
4/8/2016,23:45:00,Brawley,CA,Unknown,1 minute,I saw a flying obj. flying above the clouds. Obj. was dark and barely lit. I saw a hint of red light coming from it.
10/30/2014,22:25:00,Brawley,CA,Light,10 seconds,The light was traveling very fast and had no tail behind it.
2/3/2014,15:00:00,Brentwood,CA,Disk,1 minute,Plunged at high speed into ocean.
11/7/2015,18:30:00,Buellton,CA,Fireball,5 minutes,Southern CA UFO sighting large blue cloud. ((NUFORC Note: U. S. Navy missile launch. PD))
11/7/2015,18:00:00,Buellton ,CA,Other,5 minutes,Two dots of light connected by a beam and then a spiral and cone-shaped object. ((NUFORC Note: US Navy missile launch. PD))
8/3/2015,22:11:00,Buena Park,CA,Light,22:14,While driving eastbound on 91 freeway 3 lights 1 bright white 2 other multi color at same level in Eastern skyline a 4th appeared white
7/9/2015,15:00:00,Buena Park,CA,Other,30 seconds,Square-shaped object spinning.
1/6/2015,21:54:00,Buena Park,CA,Unknown,45 seconds,It red or orange in color was dropping debris that looked like it was in fire. (there was no tail) The debris fell straight down. It fl
10/16/2014,20:23:00,Buena Park,CA,Oval,20 seconds,6 Dimly Lit Ovals Fly over Buena Park Area as a Cluster then become a V Formation
2/11/2016,6:00:00,Burbank,CA,Fireball,20 seconds,"While walking in Burbank on Hollywood Way, looking towards Toluca Lake, I saw a very bright green fireball streak."
1/29/2016,21:27:00,Burbank,CA,Circle,9 minutes,Red orbs crossing horizon.
1/21/2016,23:30:00,Burbank,CA,Sphere,1-2 minutes,"Large bright orange sphere, rapidly descending from NE to W."
8/7/2015,15:30:00,Burbank,CA,Triangle,4 minutes,UFO over Burbank Studio and 134.
3/12/2015,10:08:00,Burbank,CA,Rectangle,2 minutes,"Very black rectangular craft seen for over one minute, over the 134 Fwy in Burbank, California."
12/22/2014,14:15:00,Burbank,CA,Sphere,3 minutes,Small silver sphere split into two yellow lights.
1/1/2014,0:15:00,Burbank,CA,Sphere,9 minutes,Burbank Ca. 3 Amber Orange Hovering Lights 9 minutes.
9/14/2015,0:45:00,Calabasas,CA,Light,5-8 minutes,Bright purple light hovering silently and color shift.
5/7/2014,18:25:00,Calimesa,CA,,5 seconds,Rocket sound wooshes past me at a tremendous speed only about 5 ft off the ground.
5/28/2014,22:00:00,Calistoga,CA,Unknown,15 seconds,Slightly erratic flight pattern with blinking lights and moving very quickly across the sky. Almost silent.
11/7/2015,18:40:00,Camarillo,CA,Light,5 minutes,A/c shot out clouds of white mist in a circular form very bright glowing sensation. ((NUFORC Note: U. S. Navy missile launch. PD))
9/8/2015,22:30:00,Cambria,CA,Other,30 seconds,"Unknown flying object over Cambria, California."
12/26/2014,18:00:00,Cambria,CA,Light,8 minutes,"Bright, star like light that hovered over ocean for 3 min, dropping into ocean with glow on horizon."
2/16/2014,20:00:00,Cambria,CA,Circle,4 minutes,"8 very bright orange/red round roused in straight line over west sky over Cambria CA., coast then faded away; seen by 4."
11/7/2015,19:00:00,Campbell,CA,Circle,5 minutes,"Cone of light, bright blue contrail and symmetrical vapor cloud. ((NUFORC Note: U. S. Navy missile launch. PD))"
9/26/2015,22:00:00,Campbell,CA,Sphere,3 minutes,"Our 7 yr. old spotted a bright round object in the sky last night, from our car. We got out to see it. It was round and was a bright."
9/6/2015,21:30:00,Campbell,CA,Fireball,3-5 seconds,Unexplained disappearing explosion-esque orb of light sighted in suburbia.
4/11/2014,20:00:00,Campbell,CA,Oval,6 minutes,"Green/White Light ~ oval shaped unidentified flying object traveling in multidirectional ""flash"" speeds across the sky."
1/24/2014,17:48:00,Campbell,CA,Other,30+ seconds,Blue U-Shaped UFO moving extremely fast with a lot of activity after.
1/15/2014,20:10:00,Campbell,CA,Fireball,4 minutes,Single fireball spotted over Silicon Valley.
11/7/2015,18:05:00,Canoga Park,CA,Other,5 minutes,Light emits green gas cloud and travels north seen from Canoga Park. ((NUFORC Note: U. S. Navy missile launch. PD))
4/25/2014,21:05:00,Canyon Country,CA,Oval,10 seconds,Large oval shaped white light.
11/7/2015,18:00:00,Canyon Lake,CA,Light,10 minutes,"A bright white light suddenly appeared up high in sky above us casting light over the whole area, no apparent sound, too dark to see if"
11/3/2014,20:00:00,Canyon Lake,CA,Fireball,5 minutes,Walked outside to take trash out. I saw above my neighbor's house 2 bright orange balls moving together slowly one in front of the oth
11/8/2014,13:52:00,Capitola,CA,Cigar,25 minutes,"Ribbon Shaped object high in Atmosphere with metallic highly reflective ends, beam seen in one picture visible."
11/7/2015,18:00:00,Cardiff by The Sea,CA,Other,15 minutes,Bright light dissolves into &quot;fog&quot; circle and the. Fades out. ((NUFORC Note: US Navy missile launch. PD))
10/24/2014,6:00:00,Cardiff by the Sea,CA,Other,30 minutes,"Lights in sky above ocean, down to surface, skimmed along surface, came within 10yds of beach,returned to original sky spot, hovered &"
4/14/2015,18:00:00,Caribou,CA,Changing,45 minutes,Intensely bright reflective eye shaped objects (2) with three affixed triangle shapes.
11/7/2015,18:45:00,Carlsbad,CA,Circle,1 minute,Appeared orange molten metal streaking high speed leaving trail of molten material. ((NUFORC Note: U. S. Navy missile launch. PD))
11/7/2015,18:01:00,Carlsbad,CA,Circle,0:08,White dot with growing orb of white then greeish-blue gas emitted from craft.
10/11/2015,21:00:00,Carlsbad,CA,Triangle,,Sphere lingering turning into triangle staying around for hours. ((NUFORC Note: Twinkling star?? PD))
3/12/2015,21:15:00,Carlsbad,CA,Circle,2 minutes,"""Fuzzy"" star grows larger and fainter until finally vanishing."
1/7/2015,17:25:00,Carlsbad,CA,Fireball,2 minutes,"A red ball of fire flew directly over my car along the coast, where aircraft arn't permitted to fly at a speed of appx. 900 mph"
9/12/2014,22:30:00,Carlsbad,CA,Triangle,,"Craft flying North on I-5 South Carlsbad, Ca, Triangle but filled in 5 lights."
8/25/2014,22:20:00,Carlsbad,CA,Disk,25 minutes,"Two bright, orange, disc-like UFO's over the Carlsbad/Oceanside/San Marcos area."
8/3/2014,23:00:00,Carlsbad,CA,Fireball,1 hour,There were a group of people with a bonfire on the beach and they were creating these orange orbs and releasing at about 3 to 5 at a ti
7/11/2014,11:30:00,Carlsbad,CA,Cross,2 minutes,Palomar Airport; near collision of object with plane.
1/19/2014,19:17:00,Carlsbad,CA,Circle,5 minutes,"Fireball in the sky over Carlsbad State Beach, California."
6/18/2014,23:00:00,Carlsbad/Oceanside,CA,Fireball,~1 hour,Two orbs hovering over military base for an hour or more.
11/7/2015,18:00:00,Carmel Valley,CA,Triangle,15 minutes,Blue/triangle horizontal light across the sky. ((NUFORC Note: US Navy missile launch. PD))
7/4/2015,1:15:00,Carmichael,CA,Disk,10,"Had three circular blinking lights on the edge. And was defending south west from a distance, it was not real close to me."
2/13/2016,21:00:00,Carpenteria,CA,Sphere,2 minutes,"Bright red light hovered a minute, then zoomed off fast."
11/7/2015,18:00:00,Carpinteria,CA,Light,5 minutes,bright white light and luminescent stationary light cloud with green beam. ((NUFORC Note: US Navy missile launch. PD))
9/20/2015,20:45:00,Carpinteria,CA,Formation,1 minute,"Three very bright lights in the night sky forming a large triangle stay motionless for 90 seconds, dim and go out."
11/7/2015,18:00:00,Carson,CA,Circle,2 minutes,A bright light moving away from a blue stream going the opposite direction. ((NUFORC Note: US Navy missile launch. PD))
3/8/2014,0:00:00,Carson,CA,Sphere,4 seconds,bright green glowing ball
1/13/2014,13:45:00,Carson,CA,Sphere,1 minute,"Silver hovering sphrere over Carson, CA."
3/8/2016,22:00:00,Castaic,CA,Formation,30 seconds,"Three ufo seen on the I-5, going through the Grapevine, making incredible maneuvers."
3/18/2016,22:25:00,Castro Valley,CA,Triangle,10 minutes,Object was seen again hoovering over Castro valley Blvd on the west bound. traveling in circular pattern from southern sky and then mov
3/17/2016,22:40:00,Castro Valley,CA,Triangle,5 minutes,"Triangular craft seen over Castro Valley, CA."
11/7/2015,11:30:00,Castro Valley,CA,Oval,1 hour,Metallic orb maintaining position to the right of Moon.
8/13/2014,6:15:00,Castro Valley,CA,Changing,15-20 minutes,I went to look out my balcony slider and always look at the sky as i did i had noticed what looked like a bright white blue light star
6/9/2014,20:30:00,Castro Valley,CA,Cone,20 minutes,I watched the obj. w/ my binoculars. It was barely visible by the naked eye. It was slowly moving from the north down to the south
6/26/2015,17:00:00,Catalina Island,CA,Other,~4 minutes,"Unidentified Flying Object above Catalina Island, June 2015."
10/14/2014,6:35:00,Cathedral City,CA,Light,25 minutes,Long straight light or reflection from sun on metal craft. Looked about a mile long and was in the sky above 29 Palms military base.
10/3/2014,19:30:00,Cathedral City,CA,Circle,3 seconds,I noticed a big reddish/amber flash of light as big as the moon itself
9/12/2014,6:10:00,Cathedral City,CA,Light,1 minute,Intensly bright light appeared through misty cloud then evaporated with the cloud.
7/12/2014,22:05:00,Cathedral City,CA,Light,8 seconds,"Big, Bright, and Moving Bluish-White Light, Suddenly Vanishes into the Night Sky."
12/31/2014,21:26:00,Cayucos,CA,Sphere,1 minute,I feel confident of what observed.
2/11/2016,6:40:00,Cerritos,CA,Teardrop,<1 minute,Bright glowing blueish green ball (shaped like a fireball) spotted speeding downward from the sky.
1/29/2016,23:50:00,Cerritos,CA,Fireball,1 minute,Odd Red- Orange orb - then becomes a fireball seen on 405 freeway in Orange county 1/29/2016.
2/6/2015,22:03:00,Cerritos,CA,Light,2 seconds,Bright blue light whizzing at an impossible speed across sky over Cerritos.
9/15/2014,2:30:00,Cerritos,CA,Oval,5 minutes,3-ft long fluorescent craft manuvering 3ft above my head and patio around 3AM. No sound or lights.
4/27/2014,21:30:00,Chatsworth,CA,Circle,2 minutes,ORANGE GLOWING ROUND LIGHTS IN SAN FERNANDO NIGHT SKY
4/27/2014,20:50:00,Chatsworth,CA,Unknown,15-20 minutes,"6 Red/Orange lights in formation seen in NW San Fernando Valley, CA."
4/27/2014,20:45:00,Chatsworth,CA,Chevron,9-15 seconds,"South eastern sky at about 50-75 degrees above the horizon. 3 Lined up. 3 Orange and green and then went dark, but still could see the"
7/18/2015,12:21:00,Chico,CA,Cone,1 hour,North Chico! Bright white cone shaped lights over Richardson Springs Rd.
3/17/2015,20:00:00,Chico,CA,Sphere,2 minutes,"While in our backyard we saw an orange shere that seemed to have a faint whitish ""aura."" It came from the west, heading east,"
10/21/2014,3:00:00,Chico,CA,Other,2 hours+,Three yellow lights in a row parallel to the horizon moving slowly in an up and down motion and a side to side.
8/4/2014,23:00:00,Chico,CA,Fireball,1 minute,"Fire in the sky, an orange UFO Mystery."
4/18/2014,22:01:00,Chico,CA,Disk,~29 minutes,"After going on the back porch for a smoke, what I saw was unbeliveable, we moved to the parking lot for a better onobstructed view."
4/18/2014,22:01:00,Chico,CA,Disk,~18 minutes,((1st report from same witness)) 9 Very brightly lit (red and yellow) saucer shaped crafts. Total time about 18 minutes
4/18/2014,10:00:00,Chico,CA,Light,10 minutes,"Report of Unusual Lights seen over Chico, California."
2/22/2014,19:00:00,Chico,CA,Light,15 seconds,Light moving across sky and then dissipates and disapears within 15-20 seconds.
11/7/2015,18:00:00,Chino,CA,Light,3 minutes,Bright light illuminated the sky with a white light. The light changed color to greenish. ((NUFORC Note: US Navy missile launch. PD))
8/30/2015,2:00:00,Chino,CA,Changing,45 seconds,"The object was flying at a noticeable altitude, yet was heading east at a unusual speed. It made no sound at all (which I have lived ne"
